time_us,rtt_us,cwnd_bytes,bytes_in_flight,pacing_Bps,ect1_packets,ce_packets,alpha_numerator,alpha_denominator
1159451,18751,3668,220,2607199,76,170,1,1
1169754,18751,3668,275,2607199,76,170,1,1
1179981,18751,3668,385,2607199,76,170,1,1
1190297,18751,3668,495,2607199,76,170,1,1
1200623,17779,3120,165,2607199,84,170,61,64
1210970,17779,3120,220,2607199,84,170,61,64
1221274,17779,3120,330,2607199,84,170,61,64
1231590,17779,3120,440,2607199,84,170,61,64
1241874,16917,3123,110,2607199,92,170,915,1024
1252114,16917,3123,165,2607199,92,170,915,1024
1262372,16917,3123,275,2607199,92,170,915,1024
1272685,16917,3123,385,2607199,92,170,915,1024
1282970,16917,3123,495,2607199,92,170,915,1024
1293246,16146,3125,110,2607199,100,170,857,1024
1303594,16146,3125,220,2607199,100,170,857,1024
1313841,16146,3125,330,2607199,100,170,857,1024
1324113,16146,3125,385,2607199,100,170,857,1024
1334418,16146,3125,495,2607199,100,170,857,1024
1344653,15485,3128,165,2607199,108,170,803,1024
1354901,15485,3128,275,2607199,108,170,803,1024
1365240,15485,3128,330,2607199,108,170,803,1024
1375503,15485,3128,440,2607199,108,170,803,1024
1385907,14908,3131,110,2607199,116,170,47,64
1396204,14908,3131,220,2607199,116,170,47,64
1406518,14908,3131,275,2607199,116,170,47,64
1416817,14908,3131,385,2607199,116,170,47,64
1427053,14908,3131,495,2607199,116,170,47,64
1437330,14384,3133,165,2607199,124,170,705,1024
1447604,14384,3133,220,2607199,124,170,705,1024
1457874,14384,3133,330,2607199,124,170,705,1024
1468111,14384,3133,440,2607199,124,170,705,1024
1478377,13871,3135,110,2607199,132,170,165,256
1488595,13871,3135,165,2607199,132,170,165,256
1498826,13871,3135,275,2607199,132,170,165,256
1509024,13871,3135,385,2607199,132,170,165,256
1519265,13871,3135,440,2607199,132,170,165,256
1529522,13454,3137,110,2607199,140,170,309,512
1539797,13454,3137,220,2607199,140,170,309,512
1550083,13454,3137,330,2607199,140,170,309,512
1560334,13454,3137,385,2607199,140,170,309,512
1570618,13454,3137,495,2607199,140,170,309,512
1580921,13454,3137,605,2607199,140,170,309,512
1591165,13454,3137,715,2607199,140,170,309,512
1601362,13454,3137,715,2607199,140,170,309,512
1611590,12202,3184,0,2607199,155,170,579,1024
